date,cases,daily_change
2020-06-07,6981,17.0
2020-06-08,7001,20.0
2020-06-09,7025,24.0
2020-06-10,7040,15.0
2020-06-11,7064,24.0
2020-06-12,7073,9.0
2020-06-13,7087,14.0
2020-06-14,7104,17.0
2020-06-15,7108,4.0
2020-06-16,7112,4.0
2020-06-17,7117,5.0
2020-06-18,7119,2.0
2020-06-19,7133,14.0
2020-06-20,7142,9.0
2020-06-21,7143,1.0
2020-06-22,7144,1.0
2020-06-23,7155,11.0
2020-06-24,7167,12.0
2020-06-25,7172,5.0
2020-06-26,7191,19.0
2020-06-27,7198,7.0
2020-06-28,7198,0.0
2020-06-29,7209,11.0
2020-06-30,7214,5.0
2020-07-01,7236,22.0
2020-07-02,7241,5.0
2020-07-03,7242,1.0
2020-07-04,7248,6.0
2020-07-05,7253,5.0
2020-07-06,7257,4.0
2020-07-07,7262,5.0
2020-07-08,7265,3.0
2020-07-09,7273,8.0
2020-07-10,7279,6.0
2020-07-11,7291,12.0
2020-07-12,7294,3.0
2020-07-13,7295,1.0
2020-07-14,7301,6.0
2020-07-15,7296,-5.0
2020-07-16,7293,-3.0
2020-07-17,7301,8.0
2020-07-18,7318,17.0
2020-07-19,7335,17.0
2020-07-20,7340,5.0
2020-07-21,7351,11.0
2020-07-22,7362,11.0
2020-07-23,7372,10.0
2020-07-24,7380,8.0
2020-07-25,7388,8.0
2020-07-26,7393,5.0
2020-07-27,7398,5.0
2020-07-28,7404,6.0
2020-07-29,7414,10.0
2020-07-30,7423,9.0
2020-07-31,7432,9.0
2020-08-01,7443,11.0
2020-08-02,7453,10.0
2020-08-03,7466,13.0
2020-08-04,7483,17.0
2020-08-05,7512,29.0
2020-08-06,7532,20.0
2020-08-07,7554,22.0
2020-08-08,7568,14.0
2020-08-09,7584,16.0
2020-08-10,7601,17.0
2020-08-11,7623,22.0
2020-08-12,7642,19.0
2020-08-13,7683,41.0
2020-08-14,7700,17.0
2020-08-15,7720,20.0
2020-08-16,7731,11.0
2020-08-17,7752,21.0
2020-08-18,7776,24.0
2020-08-19,7805,29.0
2020-08-20,7842,37.0
2020-08-21,7871,29.0
2020-08-22,7906,35.0
2020-08-23,7920,14.0
2020-08-24,7938,18.0
2020-08-25,7981,43.0
2020-08-26,8002,21.0
2020-08-27,8019,17.0
2020-08-28,8042,23.0
2020-08-29,8049,7.0
2020-08-30,8077,28.0
2020-08-31,8086,9.0
2020-09-01,8142,56.0
2020-09-02,8161,19.0
2020-09-03,8200,39.0
2020-09-04,8225,25.0
2020-09-05,8261,36.0
2020-09-06,8291,30.0
2020-09-07,8327,36.0
2020-09-08,8337,10.0
2020-09-09,8430,93.0
2020-09-10,8469,39.0
2020-09-11,8512,43.0
2020-09-12,8557,45.0
2020-09-13,8580,23.0
2020-09-14,8627,47.0
2020-09-15,8725,98.0
2020-09-16,8750,25.0
2020-09-17,8799,49.0
2020-09-18,8858,59.0
2020-09-19,8922,64.0
2020-09-20,8980,58.0
2020-09-21,9046,66.0
2020-09-22,9195,149.0
2020-09-23,9288,93.0
2020-09-24,9379,91.0
2020-09-25,9484,105.0
2020-09-26,9577,93.0
2020-09-27,9682,105.0
2020-09-28,9743,61.0
2020-09-29,9892,149.0
2020-09-30,9992,100.0
2020-10-01,10103,111.0
2020-10-02,10244,141.0
2020-10-03,10391,147.0
2020-10-04,10538,147.0
2020-10-05,10702,164.0
2020-10-06,10929,227.0
2020-10-07,11049,120.0
2020-10-08,11345,296.0
2020-10-09,11580,235.0
2020-10-10,11849,269.0
2020-10-11,11998,149.0
2020-10-12,12212,214.0
2020-10-13,12499,287.0
2020-10-14,12703,204.0
2020-10-15,12944,241.0
2020-10-16,13133,189.0
2020-10-17,13293,160.0
2020-10-18,13424,131.0
2020-10-19,13555,131.0
2020-10-20,13849,294.0
2020-10-21,14071,222.0
2020-10-22,14255,184.0
2020-10-23,14474,219.0
2020-10-24,14652,178.0
2020-10-25,14848,196.0
2020-10-26,14970,122.0
2020-10-27,15163,193.0
2020-10-28,15378,215.0
2020-10-29,15566,188.0
2020-10-30,15910,344.0
2020-10-31,16113,203.0
2020-11-01,16291,178.0
2020-11-02,16400,109.0
2020-11-03,16637,237.0
2020-11-04,16930,293.0
2020-11-05,17119,189.0
2020-11-06,17385,266.0
2020-11-07,17385,0.0
2020-11-08,17797,412.0
2020-11-09,17887,90.0
2020-11-10,18107,220.0
2020-11-11,18345,238.0
2020-11-12,18542,197.0
2020-11-13,18858,316.0
2020-11-14,19102,244.0
2020-11-15,19315,213.0
2020-11-16,19419,104.0
2020-11-17,19647,228.0
2020-11-18,19935,288.0
2020-11-19,20286,351.0
2020-11-20,20747,461.0
2020-11-21,21216,469.0
2020-11-22,21639,423.0
2020-11-23,21936,297.0
2020-11-24,22289,353.0
2020-11-25,22652,363.0
2020-11-26,23148,496.0
2020-11-27,23766,618.0
2020-11-28,24307,541.0
2020-11-29,24629,322.0
2020-11-30,24912,283.0
2020-12-01,25462,550.0
2020-12-02,25882,420.0
2020-12-03,26422,540.0
